1994 4 2 1925 7578 1 1 1 0 1 6 "Owner-Occupied" 560179
2021 1 1 1050 4670 0 0 0 0 2 6 "Rental" 231548
2014 3 2 1466 4584 0 0 0 0 9 6 "Rental" 690817
2014 4 3 2199 10865 1 1 0 1 1 9 "Owner-Occupied" 662786
2009 2 1 1390 5511 0 1 0 0 7 2 "Owner-Occupied" 521314
2020 2 1 1624 5451 1 0 0 0 9 8 "Owner-Occupied" 808512
2019 4 3 2426 11115 1 1 1 0 3 10 "Owner-Occupied" 1297319
2019 3 1 1414 6152 0 0 0 0 10 9 "Rental" 1291234
2001 2 1 1137 4322 0 0 0 0 6 5 "Rental" 265760
2014 2 1 1280 4503 0 0 0 0 2 4 "Rental" 205080
1998 2 1 1013 2634 0 0 0 0 8 3 "Rental" 332931
2017 2 1 1141 2496 0 0 0 0 7 1 "Rental" 360682
2001 1 1 1099 4152 0 0 0 0 6 2 "Rental" 184438
1998 3 1 1809 5731 1 1 1 0 8 6 "Owner-Occupied" 1657862
2014 2 2 1328 5543 0 0 0 0 7 2 "Rental" 344014
2019 1 1 1000 4127 0 0 0 0 2 2 "Rental" 590519
2020 6 3 2628 9783 1 0 1 0 1 10 "Owner-Occupied" 1024767
1990 3 2 1767 5846 1 1 0 0 7 7 "Owner-Occupied" 597836
2020 2 1 1702 6981 1 1 0 0 6 6 "Owner-Occupied" 539338
2020 2 2 1429 4455 0 0 0 0 7 2 "Rental" 515571
2016 4 2 2123 8305 1 1 0 0 2 9 "Owner-Occupied" 615157
2021 3 2 1968 7480 1 0 0 0 5 3 "Owner-Occupied" 657590
2018 8 3 2828 6596 1 1 1 0 1 7 "Owner-Occupied" 1352316
1999 1 1 1122 4076 0 0 0 0 6 6 "Rental" 538293
2013 3 1 1782 4782 1 1 0 0 7 2 "Owner-Occupied" 585672
2013 2 1 1463 3692 1 0 0 0 8 8 "Owner-Occupied" 414649
1995 3 2 2082 5047 1 0 0 0 6 6 "Owner-Occupied" 421319
2021 4 2 2120 6996 1 1 0 0 1 7 "Owner-Occupied" 655969
1995 3 2 1860 5229 1 0 0 0 1 6 "Owner-Occupied" 1616177
2007 4 3 2301 6560 1 1 0 0 1 9 "Owner-Occupied" 556780
2004 4 3 2195 7721 1 1 0 0 3 9 "Owner-Occupied" 587987
2011 4 2 2150 7632 1 1 0 0 1 10 "Owner-Occupied" 538724
2018 3 2 1974 6230 1 1 0 0 8 8 "Owner-Occupied" 839992
2014 2 1 1391 5842 0 1 0 0 9 2 "Rental" 950700
2020 3 2 1471 4552 0 1 0 0 9 4 "Rental" 784417
1996 4 3 2326 9077 1 1 0 0 1 8 "Owner-Occupied" 654341
2017 3 2 1713 6736 1 1 0 0 7 4 "Owner-Occupied" 659218
2020 3 2 1906 7952 1 1 0 0 6 8 "Owner-Occupied" 754763
2002 4 3 1563 6440 0 1 0 0 4 9 "Owner-Occupied" 481242
